id,raw_term,term,reading,definition,pitch_accent,affix_type,lesson_id
2eb7e96d-834c-470f-904f-3452810a3755,立つ,立つ,たつ,站,1,none,9
5d222f19-6a23-4f46-ab5d-501c1ea757a2,質問する,質問する,しつもんする,詢問；提問,0,none,9
01019fb3-b770-4622-b2ce-9b0d3cfa617b,グラフ,グラフ,グラフ,圖表,1,none,9
69ea36bd-2937-4f72-8048-39bd0a4e7227,いいですよ,いいですよ,いいですよ,可以啊(表允許),1,none,9
2b4e4133-8e0b-4500-b205-f69c396db844,手伝う,手伝う,てつだう,幫忙；協助,3,none,9
af0eca46-c329-4db0-9c6a-fc25c13ba0b7,意味,意味,いみ,意思,1,none,9
2ceaeec2-d16f-459d-9ef4-7038abedc5f9,地図,地図,ちず,地圖,1,none,9
2ad1e236-323e-407a-980d-2b0c3d80e001,持つ,持つ,もつ,拿；帶；持有,1,none,9
eb6103ca-49d1-496d-a795-083245b217e1,塩,塩,しお,鹽,2,none,9
e3352e50-57d3-4272-945e-376725d1708c,取る,取る,とる,拿取；取得；拿下；偷取,1,none,9
d8d3e579-8019-440a-b4ea-2953ced1eb68,ドア,ドア,ドア,門,1,none,9
04abd505-0a8b-4e67-921d-a82bce2eeb9a,開ける,開ける,あける,打開(門、窗),0,none,9
aeac1a4a-96c7-4faa-8d84-7683f7c0eea7,置く,置く,おく,放；放置,0,none,9
98189319-940e-43ec-a1c1-ad64ebe6dbd5,住所,住所,じゅうしょ,地址,1,none,9
9aeedc50-b56a-4c5d-922c-78ec6bfa39f3,会話,会話,かいわ,對話；談話,0,none,9
9a2dd218-3b09-468f-95c5-59885d669c6f,～方,方,かた,～的方法,-1,suffix,9
4abffb4d-51c0-4ab0-8caa-06043df3b8d9,切符,切符,きっぷ,票；車票,0,none,9
d8d84f15-20af-4870-af52-394b797a76ab,箸,箸,はし,筷子,1,none,9
93e7ca68-25f5-447e-ace5-0abbb4708030,発音する,発音する,はつおんする,發音,0,none,9
71aad816-89ef-4c06-9565-94b9cf824edf,コピーする,コピーする,コピーする,複印；複製,1,none,9
448ef26a-399e-488e-a408-c555978cf4ed,コピーを取る,コピーを取る,こぴーをとる,複印；影印,-1,none,9
cca1d8b7-4ee6-49f6-ab08-045919e43100,休む,休む,やすむ,休息；缺席；請假,2,none,9
c8845dea-13fe-45d2-b152-56a9b0ef5f88,呼ぶ,呼ぶ,よぶ,叫；稱,0,none,9
00d1144b-7715-4172-8b9e-5ac51b043fb6,使う,使う,つかう,使用,0,none,9
b4c9a38c-c896-485a-a082-7f3182c9d894,忘れる,忘れる,わすれる,忘記,0,none,9
fc787f47-3733-4555-a9b3-764e2adb4cc4,遅れる,遅れる,おくれる,遲到,0,none,9
1e076f16-538f-41f0-9546-9be5c9238d3d,心配する,心配する,しんぱいする,擔心,0,none,9
52cbd272-0afa-466a-bff7-5304e35a50c0,みんな,みんな,みんな,大家,3,none,9
c668b9ad-4589-4f56-bd5e-434da565a084,言う,言う,いう,說；講,0,none,9
3ecfab88-52a8-43e3-b23d-e990159ff483,だから,だから,だから,所以；因此,1,none,9
8984aa80-608a-4ef0-8ac4-994d3ba33d25,持って来る,持って来る,もってくる,帶來；拿來,-1,none,9
0f46ef0b-301f-4a76-89fd-ba7a4bf02df3,たばこ,たばこ,たばこ,香菸,0,none,9
e1c930a1-d376-420a-b37f-ceece86f79fc,吸う,吸う,すう,吸；抽(菸),0,none,9
ebe14ed2-7871-4e4f-9a7c-9e30dea8975d,返す,返す,かえす,歸還,1,none,9
e4443341-d425-4d6b-9eb5-8f1a0cdb5926,迎える,迎える,むかえる,迎接,0,none,9
b09d8cdd-9c52-412b-a19d-3a2002fd4b50,文学,文学,ぶんがく,文學,1,none,9
89afbb31-6853-48f3-adb6-759483bbb938,研究する,研究する,けんきゅうする,研究；鑽研,0,none,9
b8211459-3c22-407d-9c2c-4246a6f0be62,イギリス,イギリス,イギリス,英國,0,none,9
90d9b6a2-c519-4d8d-bec4-2148a5b5a7e8,日光,日光,にっこう,日光(地名),1,none,9
ad7c14bd-19f6-4eac-a2d7-f5d28fac55a9,大丈夫,大丈夫,だいじょうぶ,沒問題的,3,none,9
191bb1a2-083c-4368-b805-fb4daef0b361,よかった,よかった,よかった,那就好；太好了,1,none,9
6aa848c2-b1c6-45de-ad83-032efbf809f9,調べる,調べる,しらべる,調查；查詢,3,none,9
22b06d04-4905-46de-aa0f-e4814ff31f46,東照宮,東照宮,とうしょうぐう,東照宮,3,none,9
8bb7b0e3-ac2b-4ccb-ac81-791fcf55b41c,たこ焼き,たこ焼き,たこやき,章魚燒,0,none,9
39cb4571-9cbc-4ceb-a99b-f2d307f3556f,時計台,時計台,とけいだい,鐘樓,2,none,9
d91e211b-1b68-4c32-b386-bf0fd293c2a6,試験をする,試験をする,しけんをする,進行考試,-1,none,9
25af1e62-09c2-4ffe-8663-c2bcf771fd62,大切,大切,たいせつ,重要的,0,none,9
787d2c79-2cfc-404c-a2ab-9a9c622a766e,覚える,覚える,おぼえる,記下；記得,3,none,9
2317a31a-b6ad-4d4d-9b93-eb3bb55fb426,頑張る,頑張る,がんばる,努力；加油,3,none,9
3cbe397e-1212-4216-b72c-b2bfb2f60b85,遅く,遅く,おそく,很晚(的時間),0,none,9
3caf9043-c398-4ed4-acba-1b6067a095b9,眠い,眠い,ねむい,想睡的,0,none,9
d2bacf67-5a4d-43a9-816d-d8b095bd5656,顔,顔,かお,臉,0,none,10
255774a3-79bf-44c1-81d2-faf6ce9d5580,洗う,洗う,あらう,洗,0,none,10
fdba4989-d7a0-4e50-b83a-31ab6bb9b9e5,歯,歯,は,牙齒,1,none,10
38b0f390-289d-427f-aae4-ffc55c5a45bc,磨く,磨く,みがく,刷(牙)；磨,0,none,10
690146bc-f09a-4171-ad75-761e1235180f,シャワー,シャワー,シャワー,淋浴,1,none,10
96667c54-89c7-4122-814d-11ca7a842e0b,浴びる,浴びる,あびる,淋；沐,0,none,10
1f271c87-7cae-4946-9519-4f1324e3efb7,入る,入る,はいる,進入；加入；參與,1,none,10
