"單　　字","讀　　音","重音","中　文　翻　譯","課","句型","詞性","動詞
分類","動詞
辭書形","辭書形
重音","","","","","","","","",""
"ごちそうさまでした","-","7","謝謝款待","11","11-5","句子","-","-","-","","","","","","","","",""
"おやすみなさい","-","6","晚安","11","11-5","句子","-","-","-","","","","","","","","",""
"ただいま","-","4","我回來了","11","11-5","句子","-","-","-","","","","","","","","",""
"思う","おもう","2","想；認為；覺得","11","11-6","動詞","1","-","-","","","","","","","","",""
"～について","-","-","關於～","11","11-6","詞組","-","-","-","","","","","","","","",""
"こと","-","2","事；事情","11","11-7","名詞","-","-","-","","","","","","","","",""
"ジョギングする","-","0","慢跑","11","11-7","動詞","3","-","-","","","","","","","","",""
"洗濯する","せんたくする","0","洗衣服","11","11-7","動詞","3","-","-","","","","","","","","",""
"掃除する","そうじする","0","打掃","11","11-7","動詞","3","-","-","","","","","","","","",""
"開く","あく","0","(門、窗)開","11","11-7","動詞","1","-","-","","","","","","","","",""
"閉まる","しまる","2","(門、窗)關","11","11-7","動詞","1","-","-","","","","","","","","",""
"赤ちゃん","あかちゃん","1","小嬰兒","11","11-7","名詞","-","-","-","","","","","","","","",""
"泣く","なく","0","哭","11","11-7","動詞","1","-","-","","","","","","","","",""
"笑う","わらう","0","笑","11","11-7","動詞","1","-","-","","","","","","","","",""
"焼きそば","やきそば","0","(日式)炒麵","11","11-c","名詞","-","-","-","","","","","","","","",""
"わかりました","-","4","我知道了","11","11-c","句子","-","-","-","","","","","","","","",""
"楽しみにしています","たのしみにしています","-","我很期待","11","11-c","句子","-","-","-","","","","","","","","",""
"いろいろ","-","0","各式各樣的","11","11-c","ナ形容詞","-","-","-","","","","","","","","",""
"もの","-","2","東西","11","11-c","名詞","-","-","-","","","","","","","","",""
"売る","うる","0","賣；販賣","11","11-c","動詞","1","-","-","","","","","","","","",""
"もうすぐ","-","3","馬上；即將","11","11-c","副詞","-","-","-","","","","","","","","",""
"お神輿","おみこし","2","神轎","11","11-c","名詞","-","-","-","","","","","","","","",""
"今度","こんど","1","這次；下次","11","11-c","副詞","-","-","-","","","","","","","","",""
"薬","くすり","0","藥","11","11-g","名詞","-","-","-","","","","","","","","",""
"渡す","わたす","0","遞；交付","11","11-g","動詞","1","-","-","","","","","","","","",""
"着る","きる","0","穿(上身衣物)","12","12-1","動詞","2","-","-","","","","","","","","",""
"脱ぐ","ぬぐ","1","脫","12","12-1","動詞","1","-","-","","","","","","","","",""
"スーツ","-","1","西裝；套裝","12","12-1","名詞","-","-","-","","","","","","","","",""
"上着","うわぎ","0","上衣；外衣","12","12-1","名詞","-","-","-","","","","","","","","",""
"セーター","-","1","毛衣","12","12-1","名詞","-","-","-","","","","","","","","",""
"ズボン","-","1","長褲","12","12-1","名詞","-","-","-","","","","","","","","",""
"スカート","-","2","裙子","12","12-1","名詞","-","-","-","","","","","","","","",""
"靴下","くつした","2","襪子","12","12-1","名詞","-","-","-","","","","","","","","",""
"靴","くつ","2","鞋子","12","12-1","名詞","-","-","-","","","","","","","","",""
"はく","-","0","穿(下身衣物、鞋、襪)","12","12-1","動詞","1","-","-","","","","","","","","",""
"かぶる","-","2","戴(帽子)","12","12-1","動詞","1","-","-","","","","","","","","",""
"メガネ","-","1","眼鏡","12","12-1","名詞","-","-","-","","","","","","","","",""
"メガネをかける","-","-","戴眼鏡","12","12-1","詞組","-","-","-","","","","","","","","",""
"ネクタイ","-","1","領帶","12","12-1","名詞","-","-","-","","","","","","","","",""
"ネクタイをする","-","-","繫領帶","12","12-1","詞組","-","-","-","","","","","","","","",""
"アクセサリー","-","3","飾品","12","12-1","名詞","-","-","-","","","","","","","","",""
"着物","きもの","0","和服","12","12-1","名詞","-","-","-","","","","","","","","",""
"色","いろ","2","顏色","12","12-1","名詞","-","-","-","","","","","","","","",""
"何色","なにいろ","0","什麼顏色","12","12-1","代名詞","-","-","-","","","","","","","","",""
"グレー","-","2","灰色","12","12-1","名詞","-","-","-","","","","","","","","",""
"茶色","ちゃいろ","0","棕色；咖啡色","12","12-1","名詞","-","-","-","","","","","","","","",""
"ピンク","-","1","粉紅色","12","12-1","名詞","-","-","-","","","","","","","","",""
"緑","みどり","1","綠色","12","12-1","名詞","-","-","-","","","","","","","","",""
"金","きん","1","金色","12","12-1","名詞","-","-","-","","","","","","","","",""
"ネックレス","-","1","項鍊","12","12-1","名詞","-","-","-","","","","","","","","",""
"イヤリング","-","1","耳夾","12","12-1","名詞","-","-","-","","","","","","","","",""
"どうして","-","1","為什麼","12","12-2","副詞","-","-","-","","","","","","","","",""
"なぜ","-","1","為什麼","12","12-2","副詞","-","-","-","","","","","","","","",""
"カラオケ","-","0","卡拉OK；KTV","12","12-2","名詞","-","-","-","","","","","","","","",""
"下手","へた","2","笨拙的；爛的；不擅長的","12","12-2","ナ形容詞","-","-","-","","","","","","","","",""
"急ぐ","いそぐ","2","急忙；加快","12","12-2","動詞","1","-","-","","","","","","","","",""
"国際関係","こくさいかんけい","5","國際關係","12","12-2","名詞","-","-","-","","","","","","","","",""
"頑張ってください","がんばってください","-","請加油；加油哦","12","12-2","句子","-","-","-","","","","","","","","",""
"バラ","-","0","玫瑰","12","12-4","名詞","-","-","-","","","","","","","","",""
"梨","なし","2","梨子","12","12-4","名詞","-","-","-","","","","","","","","",""
"植物","しょくぶつ","2","植物","12","12-4","名詞","-","-","-","","","","","","","","",""
"竹","たけ","0","竹子","12","12-4","名詞","-","-","-","","","","","","","","",""
"梅","うめ","0","梅花；梅子","12","12-4","名詞","-","-","-","","","","","","","","",""
"羊羹","ようかん","1","羊羹","12","12-4","名詞","-","-","-","","","","","","","","",""
"かまぼこ","-","0","魚板","12","12-4","名詞","-","-","-","","","","","","","","",""
"楽器","がっき","0","樂器","12","12-4","名詞","-","-","-","","","","","","","","",""
"三味線","しゃみせん","0","三味線","12","12-4","名詞","-","-","-","","","","","","","","",""
"まぐろ","-","0","鮪魚","12","12-4","名詞","-","-","-","","","","","","","","",""
"だんご","-","0","糰子","12","12-4","名詞","-","-","-","","","","","","","","",""
"フエ","-","1","順化(越南地名)","12","12-4","名詞","-","-","-","","","","","","","","",""
"どうぞよろしくお願いします","どうぞよろしくおねがいします","-","請多指教","12","12-4","句子","-","-","-","","","","","","","","",""
"コート","-","1","大衣；風衣","12","12-5","名詞","-","-","-","","","","","","","","",""
"いつか","-","1","總有一天","12","12-5","副詞","-","-","-","","","","","","","","",""
"世界","せかい","1","世界","12","12-5","名詞","-","-","-","","","","","","","","",""
"世界旅行","せかいりょこう","4","環遊世界；環球旅行","12","12-5","名詞","-","-","-","","","","","","","","",""
"神様","かみさま","1","神明","12","12-5","名詞","-","-","-","","","","","","","","",""
"踊り","おどり","0","(傳統)舞蹈","12","12-5","名詞","-","-","-","","","","","","","","",""
"浴衣","ゆかた","0","浴衣","12","12-5","名詞","-","-","-","","","","","","","","",""
"盆踊り","ぼんおどり","3","盂蘭盆舞","12","12-5","名詞","-","-","-","","","","","","","","",""
"踊る","おどる","0","跳舞；舞動","12","12-5","動詞","1","-","-","","","","","","","","",""
"農業","のうぎょう","1","農業","12","12-5","名詞","-","-","-","","","","","","","","",""
"関係","かんけい","0","關係","12","12-5","名詞","-","-","-","","","","","","","","",""
"米","こめ","2","米；稻米；米飯","12","12-5","名詞","-","-","-","","","","","","","","",""
"米ができる","こめができる","-","稻米豐收","12","12-5","詞組","-","-","-","","","","","","","","",""
"喜ぶ","よろこぶ","3","開心；喜悅","12","12-5","動詞","1","-","-","","","","","","","","",""
"周り","まわり","0","周圍","12","12-5","名詞","-","-","-","","","","","","","","",""
"提灯","ちょうちん","3","燈籠","12","12-5","名詞","-","-","-","","","","","","","","",""
"ランプ","-","1","燈；檯燈；立燈","12","12-5","名詞","-","-","-","","","","","","","","",""
"屋台","やたい","1","攤販","12","12-5","名詞","-","-","-","","","","","","","","",""
"並ぶ","ならぶ","0","排隊；排列","12","12-5","動詞","1","-","-","","","","","","","","",""
"ゲーム","-","1","遊戲","12","12-5","名詞","-","-","-","","","","","","","","",""
"おせち料理","おせちりょうり","4","年菜","12","12-5","名詞","-","-","-","","","","","","","","",""
"お正月","おしょうがつ","5","新年","12","12-5","名詞","-","-","-","","","","","","","","",""
"特別","とくべつ","0","特別的","12","12-5","ナ形容詞","-","-","-","","","","","","","","",""
"ようこそ","-","1","歡迎來到","12","12-c","感嘆詞","-","-","-","","","","","","","","",""
"お世話になります","おせわになります","-","麻煩您照顧了","12","12-c","句子","-","-","-","","","","","","","","",""
"はっぴ","-","0","法被(傳統日式薄外衣)","12","12-c","名詞","-","-","-","","","","","","","","",""
"ホームステイ","-","5","寄宿家庭","12","12-c","名詞","-","-","-","","","","","","","","",""
"珍しい","めずらしい","4","稀有的；珍稀的；少見的","12","12-g","イ形容詞","-","-","-","","","","","","","","",""
"オジギソウ","-","3","含羞草","12","12-g","名詞","-","-","-","","","","","","","","",""
"府中市","ふちゅうし","2","府中市(地名)","12","12-g","名詞","-","-","-","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
