"單　　字","讀　　音","重音","中　文　翻　譯","課","句型","詞性","動詞
分類","動詞
辭書形","辭書形
重音","","","","","","","","",""
"呼ぶ","よぶ","0","叫；稱","9","09-3","動詞","1","-","-","","","","","","","","",""
"使う","つかう","0","使用","9","09-3","動詞","1","-","-","","","","","","","","",""
"忘れる","わすれる","0","忘記","9","09-3","動詞","2","-","-","","","","","","","","",""
"遅れる","おくれる","0","遲到","9","09-3","動詞","2","-","-","","","","","","","","",""
"心配する","しんぱいする","0","擔心","9","09-3","動詞","3","-","-","","","","","","","","",""
"みんな","-","3","大家","9","09-3","名詞","-","-","-","","","","","","","","",""
"言う","いう","0","說；講","9","09-3","動詞","1","-","-","","","","","","","","",""
"だから","-","1","所以；因此","9","09-4","連接詞","-","-","-","","","","","","","","",""
"持って来る","もってくる","-","帶來；拿來","9","09-4","詞組","-","-","-","","","","","","","","",""
"たばこ","-","0","香菸","9","09-4","名詞","-","-","-","","","","","","","","",""
"吸う","すう","0","吸；抽(菸)","9","09-4","動詞","1","-","-","","","","","","","","",""
"返す","かえす","1","歸還","9","09-5","動詞","1","-","-","","","","","","","","",""
"迎える","むかえる","0","迎接","9","09-5","動詞","2","-","-","","","","","","","","",""
"文学","ぶんがく","1","文學","9","09-5","名詞","-","-","-","","","","","","","","",""
"研究する","けんきゅうする","0","研究；鑽研","9","09-5","動詞","3","-","-","","","","","","","","",""
"イギリス","-","0","英國","9","09-5","名詞","-","-","-","","","","","","","","",""
"日光","にっこう","1","日光(地名)","9","09-5","名詞","-","-","-","","","","","","","","",""
"大丈夫","だいじょうぶ","3","沒問題的","9","09-5","ナ形容詞","-","-","-","","","","","","","","",""
"よかった","-","1","那就好；太好了","9","09-5","句子","-","-","-","","","","","","","","",""
"調べる","しらべる","3","調查；查詢","9","09-5","動詞","2","-","-","","","","","","","","",""
"東照宮","とうしょうぐう","3","東照宮","9","09-5","名詞","-","-","-","","","","","","","","",""
"たこ焼き","たこやき","0","章魚燒","9","09-5","名詞","-","-","-","","","","","","","","",""
"時計台","とけいだい","2","鐘樓","9","09-5","名詞","-","-","-","","","","","","","","",""
"試験をする","しけんをする","-","進行考試","9","09-c","詞組","-","-","-","","","","","","","","",""
"大切","たいせつ","0","重要的","9","09-c","ナ形容詞","-","-","-","","","","","","","","",""
"覚える","おぼえる","3","記下；記得","9","09-c","動詞","2","-","-","","","","","","","","",""
"頑張る","がんばる","3","努力；加油","9","09-c","動詞","1","-","-","","","","","","","","",""
"遅く","おそく","0","很晚(的時間)","9","09-g","名詞","-","-","-","","","","","","","","",""
"眠い","ねむい","0","想睡的","9","09-g","イ形容詞","-","-","-","","","","","","","","",""
"顔","かお","0","臉","10","10-1","名詞","-","-","-","","","","","","","","",""
"洗う","あらう","0","洗","10","10-1","動詞","1","-","-","","","","","","","","",""
"歯","は","1","牙齒","10","10-1","名詞","-","-","-","","","","","","","","",""
"磨く","みがく","0","刷(牙)；磨","10","10-1","動詞","1","-","-","","","","","","","","",""
"シャワー","-","1","淋浴","10","10-1","名詞","-","-","-","","","","","","","","",""
"浴びる","あびる","0","淋；沐","10","10-1","動詞","2","-","-","","","","","","","","",""
"入る","はいる","1","進入；加入；參與","10","10-1","動詞","1","-","-","","","","","","","","",""
"出る","でる","1","出去；出來","10","10-1","動詞","2","-","-","","","","","","","","",""
"乗る","のる","0","搭乘","10","10-1","動詞","1","-","-","","","","","","","","",""
"降りる","おりる","2","下(車)","10","10-1","動詞","2","-","-","","","","","","","","",""
"着く","つく","1","到；抵達","10","10-1","動詞","1","-","-","","","","","","","","",""
"ホテル","-","1","飯店","10","10-1","名詞","-","-","-","","","","","","","","",""
"乗り換える","のりかえる","4","轉乘","10","10-1","動詞","2","-","-","","","","","","","","",""
"下りる","おりる","2","下(樓梯)","10","10-1","動詞","2","-","-","","","","","","","","",""
"階段","かいだん","0","樓梯","10","10-1","名詞","-","-","-","","","","","","","","",""
"論文","ろんぶん","0","論文","10","10-1","名詞","-","-","-","","","","","","","","",""
"どうやって","-","-","該怎麼","10","10-1","詞組","-","-","-","","","","","","","","",""
"横浜","よこはま","0","橫濱(地名)","10","10-1","名詞","-","-","-","","","","","","","","",""
"JR","ジェイアール","3","JR；日本鐵路公司","10","10-1","名詞","-","-","-","","","","","","","","",""
"行きたいんですが","いきたいんですが","-","我想去(後多接疑問、請求)","10","10-1","句子","-","-","-","","","","","","","","",""
"お台場","おだいば","0","御台場(地名)","10","10-1","名詞","-","-","-","","","","","","","","",""
"服","ふく","2","衣服","10","10-3","名詞","-","-","-","","","","","","","","",""
"成績","せいせき","0","成績","10","10-3","名詞","-","-","-","","","","","","","","",""
"どうなりましたか","-","-","變得怎麼樣了呢","10","10-3","句子","-","-","-","","","","","","","","",""
"昔","むかし","0","從前；很久以前","10","10-3","名詞","-","-","-","","","","","","","","",""
"降る","ふる","1","下(雨、雪)","10","10-4","動詞","1","-","-","","","","","","","","",""
"止む","やむ","0","(雨、風)停止","10","10-4","動詞","1","-","-","","","","","","","","",""
"空","そら","1","天空","10","10-4","名詞","-","-","-","","","","","","","","",""
"台風","たいふう","3","颱風","10","10-4","名詞","-","-","-","","","","","","","","",""
"風","かぜ","0","風","10","10-4","名詞","-","-","-","","","","","","","","",""
"吹く","ふく","1","吹；刮(風)","10","10-4","動詞","1","-","-","","","","","","","","",""
"雪だるま","ゆきだるま","3","雪人","10","10-4","名詞","-","-","-","","","","","","","","",""
"見学する","けんがくする","0","參訪；參觀學習","10","10-5","動詞","3","-","-","","","","","","","","",""
"集める","あつめる","3","收集；集合","10","10-7","動詞","2","-","-","","","","","","","","",""
"～字","～じ","1","～字","10","10-7","量詞","-","-","-","","","","","","","","",""
"全部","ぜんぶ","1","全部","10","10-7","副詞","-","-","-","","","","","","","","",""
"半分","はんぶん","3","一半","10","10-7","副詞","-","-","-","","","","","","","","",""
"スケジュール","-","3","行事曆；行程表","10","10-c","名詞","-","-","-","","","","","","","","",""
"見物する","けんぶつする","0","參觀；賞","10","10-c","動詞","3","-","-","","","","","","","","",""
"とうふ","-","3","豆腐","10","10-c","名詞","-","-","-","","","","","","","","",""
"泊まる","とまる","0","住(宿)","10","10-c","動詞","1","-","-","","","","","","","","",""
"旅館","りょかん","0","(日式傳統)旅館","10","10-c","名詞","-","-","-","","","","","","","","",""
"早く","はやく","1","早","10","10-c","副詞","-","-","-","","","","","","","","",""
"その前に","そのまえに","3","在那之前","10","10-g","詞組","-","-","-","","","","","","","","",""
"銀座","ぎんざ","0","銀座(地名)","10","10-g","名詞","-","-","-","","","","","","","","",""
"もっと","-","1","更；更加；再","10","10-g","副詞","-","-","-","","","","","","","","",""
"いつも","-","1","總是；通常","10","10-g","副詞","-","-","-","","","","","","","","",""
"手","て","1","手","10","10-g","名詞","-","-","-","","","","","","","","",""
"入れる","いれる","0","放進；放入","11","11-0","動詞","2","-","-","","","","","","","","",""
"かける","-","0","掛；掛上","11","11-0","動詞","2","-","-","","","","","","","","",""
"のせる","-","0","放；放上；盛上","11","11-0","動詞","2","-","-","","","","","","","","",""
"壁","かべ","0","牆壁","11","11-0","名詞","-","-","-","","","","","","","","",""
"砂糖","さとう","2","糖；砂糖","11","11-0","名詞","-","-","-","","","","","","","","",""
"シャツ","-","1","襯衫","11","11-0","名詞","-","-","-","","","","","","","","",""
"ミルク","-","1","(非鮮乳)牛奶","11","11-0","名詞","-","-","-","","","","","","","","",""
"袋","ふくろ","3","袋子","11","11-0","名詞","-","-","-","","","","","","","","",""
"書類","しょるい","0","文件；資料","11","11-0","名詞","-","-","-","","","","","","","","",""
"ゆで卵","ゆでたまご","3","水煮蛋","11","11-0","名詞","-","-","-","","","","","","","","",""
"鍋","なべ","1","鍋子；火鍋","11","11-0","名詞","-","-","-","","","","","","","","",""
"ゆでる","-","2","水煮；川燙","11","11-0","動詞","2","-","-","","","","","","","","",""
"住む","すむ","1","居住","11","11-1","動詞","1","-","-","","","","","","","","",""
"知る","しる","0","知道；認識","11","11-1","動詞","1","-","-","","","","","","","","",""
"番号","ばんごう","3","號碼；編號","11","11-1","名詞","-","-","-","","","","","","","","",""
"スター","-","2","明星","11","11-1","名詞","-","-","-","","","","","","","","",""
"働く","はたらく","0","工作；勞動","11","11-1","動詞","1","-","-","","","","","","","","",""
"小学校","しょうがっこう","3","小學","11","11-1","名詞","-","-","-","","","","","","","","",""
"～年生","～ねんせい","-","～年級","11","11-1","後綴","-","-","-","","","","","","","","",""
"経済学","けいざいがく","3","經濟學","11","11-1","名詞","-","-","-","","","","","","","","",""
"もう","-","1","已經","11","11-2","副詞","-","-","-","","","","","","","","",""
"払う","はらう","2","支付","11","11-2","動詞","1","-","-","","","","","","","","",""
"正しい","ただしい","3","正確的；對的","11","11-3","イ形容詞","-","-","-","","","","","","","","",""
"答え","こたえ","2","回答；答案","11","11-3","名詞","-","-","-","","","","","","","","",""
"思い出す","おもいだす","4","想起；記起","11","11-3","動詞","1","-","-","","","","","","","","",""
"チェックする","-","1","確認；檢查；核對","11","11-3","動詞","3","-","-","","","","","","","","",""
"録音する","ろくおんする","0","錄音","11","11-3","動詞","3","-","-","","","","","","","","",""
"もう一度","もういちど","0","再一次","11","11-3","詞組","-","-","-","","","","","","","","",""
"おはようございます","-","-","早安","11","11-4","句子","-","-","-","","","","","","","","",""
"こんにちは","-","5","午安；日安；嗨","11","11-4","句子","-","-","-","","","","","","","","",""
"こんばんは","-","5","晚上好；嗨","11","11-4","句子","-","-","-","","","","","","","","",""
"さようなら","-","5","再會；再見","11","11-4","句子","-","-","-","","","","","","","","",""
"留学生","りゅうがくせい","3","留學生","11","11-4","名詞","-","-","-","","","","","","","","",""
"サークル","-","0","(大學)社團","11","11-4","名詞","-","-","-","","","","","","","","",""
"書道部","しょどうぶ","2","書法社","11","11-4","名詞","-","-","-","","","","","","","","",""
"もちろん","-","2","當然","11","11-4","副詞","-","-","-","","","","","","","","",""
"ほか","-","0","其他","11","11-4","名詞","-","-","-","","","","","","","","",""
"～たち","-","-","～們；～等人","11","11-4","後綴","-","-","-","","","","","","","","",""
"ビザ","-","1","簽證","11","11-5","名詞","-","-","-","","","","","","","","",""
"ノックする","-","1","敲(門)","11","11-5","動詞","3","-","-","","","","","","","","",""
"連絡する","れんらくする","0","聯絡；聯繫","11","11-5","動詞","3","-","-","","","","","","","","",""
"初めて","はじめて","2","第一次","11","11-5","副詞","-","-","-","","","","","","","","",""
"いただきます","-","2","我開動了","11","11-5","句子","-","-","-","","","","","","","","",""
