term,reading,pitch_accent,definition,lesson_id,句型,詞性,"動詞
分類","動詞
辭書形","辭書形
重音",,,,,,,,,
公園,こうえん,0,公園,2,02-2,名詞,-,-,-,,,,,,,,,
スタジアム,-,2,體育場,2,02-2,名詞,-,-,-,,,,,,,,,
飛行場,ひこうじょう,0,飛機場,2,02-2,名詞,-,-,-,,,,,,,,,
JLC,ジェーエルシー,5,日語教育中心,2,02-2,名詞,-,-,-,,,,,,,,,
ATM,エーティーエム,5,自動提款機,2,02-2,名詞,-,-,-,,,,,,,,,
警察,けいさつ,0,警察,2,02-2,名詞,-,-,-,,,,,,,,,
多摩,たま,1,多摩(地名),2,02-2,名詞,-,-,-,,,,,,,,,
飛田給,とびたきゅう,3,飛田給(地名),2,02-2,名詞,-,-,-,,,,,,,,,
グランド,-,0,操場,2,02-2,名詞,-,-,-,,,,,,,,,
研究講義棟,けんきゅうこうぎとう,0,教學研究大樓,2,02-2,名詞,-,-,-,,,,,,,,,
事務棟,じむとう,0,行政大樓,2,02-2,名詞,-,-,-,,,,,,,,,
保健センター,ほけんせんたー,4,保健中心,2,02-2,名詞,-,-,-,,,,,,,,,
いくら,-,1,多少錢,2,02-3,名詞,-,-,-,,,,,,,,,
～円,～えん,-,～日圓,2,02-3,後綴,-,-,-,,,,,,,,,
電話番号,でんわばんごう,4,電話號碼,2,02-3,名詞,-,-,-,,,,,,,,,
何番,なんばん,1,幾號,2,02-3,名詞,-,-,-,,,,,,,,,
ジュース,-,1,果汁,2,02-3,名詞,-,-,-,,,,,,,,,
牛乳,ぎゅうにゅう,0,牛奶,2,02-3,名詞,-,-,-,,,,,,,,,
ケーキ,-,1,蛋糕,2,02-3,名詞,-,-,-,,,,,,,,,
パン,-,1,麵包,2,02-3,名詞,-,-,-,,,,,,,,,
じゃ,-,1,那麼,2,02-3,連接詞,-,-,-,,,,,,,,,
お願いします,おねがいします,6,麻煩你,2,02-3,句子,-,-,-,,,,,,,,,
メニュー,-,1,菜單；選單,2,02-3,名詞,-,-,-,,,,,,,,,
カレーライス,-,4,咖哩飯,2,02-3,名詞,-,-,-,,,,,,,,,
スパゲッティ,-,3,義大利麵,2,02-3,名詞,-,-,-,,,,,,,,,
うどん,-,0,烏龍麵,2,02-3,名詞,-,-,-,,,,,,,,,
そば,-,1,蕎麥麵,2,02-3,名詞,-,-,-,,,,,,,,,
定食,ていしょく,0,定食；套餐,2,02-3,名詞,-,-,-,,,,,,,,,
ハンバーガー,-,3,漢堡,2,02-3,名詞,-,-,-,,,,,,,,,
サンドイッチ,-,4,三明治,2,02-3,名詞,-,-,-,,,,,,,,,
ラーメン,-,1,拉麵,2,02-3,名詞,-,-,-,,,,,,,,,
コーヒー,-,3,咖啡,2,02-3,名詞,-,-,-,,,,,,,,,
紅茶,こうちゃ,0,紅茶,2,02-3,名詞,-,-,-,,,,,,,,,
サラダ,-,1,沙拉,2,02-3,名詞,-,-,-,,,,,,,,,
白い,しろい,2,白色的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
黒い,くろい,2,黑色的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
青い,あおい,2,藍色的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
赤い,あかい,0,紅色的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
黄色い,きいろい,0,黃色的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
大きい,おおきい,3,大的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
小さい,ちいさい,3,小的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
高い,たかい,2,高的；貴的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
低い,ひくい,2,低的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
新しい,あたらしい,4,新的；新鮮的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
古い,ふるい,2,舊的；不新鮮的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
おいしい,-,3,好吃的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
まずい,-,2,難吃的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
明るい,あかるい,3,明亮的；明朗的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
暗い,くらい,0,暗的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
安い,やすい,2,便宜的,2,02-4,イ形容詞,-,-,-,,,,,,,,,
山,やま,2,山,2,02-4,名詞,-,-,-,,,,,,,,,
漢字,かんじ,0,漢字,2,02-4,名詞,-,-,-,,,,,,,,,
どんな～,-,1,什麼樣的～,2,02-6,連體詞,-,-,-,,,,,,,,,
今,いま,1,現在；剛才；等一下,2,02-7,名詞,-,-,-,,,,,,,,,
何時,なんじ,1,幾點,2,02-7,名詞,-,-,-,,,,,,,,,
～時,～じ,-,～點,2,02-7,量詞,-,-,-,,,,,,,,,
～分,～ふん,-,～分,2,02-7,量詞,-,-,-,,,,,,,,,
～半,～はん,-,～半,2,02-7,後綴,-,-,-,,,,,,,,,
ちょっと,-,1,有一點；稍微,2,02-8,副詞,-,-,-,,,,,,,,,
買い物,かいもの,0,購物；採買,2,02-c,名詞,-,-,-,,,,,,,,,
富士山,ふじさん,1,富士山,2,02-g,名詞,-,-,-,,,,,,,,,
町,まち,2,城鎮；城市,2,02-g,名詞,-,-,-,,,,,,,,,
京都,きょうと,1,京都(地名),2,02-g,名詞,-,-,-,,,,,,,,,
今日,きょう,1,今天,2,02-g,名詞,-,-,-,,,,,,,,,
寒い,さむい,2,(天氣)寒冷的,2,02-g,イ形容詞,-,-,-,,,,,,,,,
毎日,まいにち,1,每天,3,03-1,名詞,-,-,-,,,,,,,,,
何曜日,なんようび,3,星期幾,3,03-1,名詞,-,-,-,,,,,,,,,
月曜日,げつようび,3,星期一,3,03-1,名詞,-,-,-,,,,,,,,,
火曜日,かようび,2,星期二,3,03-1,名詞,-,-,-,,,,,,,,,
水曜日,すいようび,3,星期三,3,03-1,名詞,-,-,-,,,,,,,,,
木曜日,もくようび,3,星期四,3,03-1,名詞,-,-,-,,,,,,,,,
金曜日,きんようび,3,星期五,3,03-1,名詞,-,-,-,,,,,,,,,
